Study_site;Trap_nr;X;Y;Used_autumn_2021;Set_up_autumn_2021;Trap_height_autumn_2021;Used_spring_2022;Set_up_spring_2022;Trap_height_spring_2022;Used_autumn_2022;Set_up_autumn_2022;Trap_height_autumn_2022;Used_spring_2023;Set_up_spring_2023;Trap_height_spring_2023;Used_autumn_2023;Set_up_autumn_2023;Trap_height_autumn_2023;Used_spring_2024;Set_up_spring_2024;Trap_height_spring_2024;Used_autumn_2024;Set_up_autumn_2024;Trap_height_autumn_2024;Set_up_spring_2025;Trap_height_spring_2025
Treptower_Park;B_Trep_01 ;13,47673;52,48541;1.0;28.09.2021;1.0;1.0;23.03.2022;1.0;1.0;29.08.2022;01. Feb;1.0;05.04.2023;1.0;0.0;NA;NA;0.0;NA;NA;0.0;NA;NA;NA;NA
Treptower_Park;B_Trep_02;13,47432;52,48450;1.0;28.09.2021;01. Mai;0.0;NA;NA;0.0;NA;NA;0.0;NA;NA;0.0;NA;NA;0.0;NA;NA;0.0;NA;NA;NA;NA
Treptower_Park;B_Trep_03;13,47286;52,48774;1.0;28.09.2021;0.5;1.0;23.03.2022;0.5;1.0;29.08.2022;0.0;1.0;05.04.2023;0.0;1.0;20.08.2023;0.0;1.0;19.03.2024;0.0;1.0;14.08.2024;0.0;NA;NA
Treptower_Park;B_Trep_04;13,46752;52,49005;1.0;28.09.2021;1.0;1.0;23.03.2022;1.0;1.0;29.08.2022;1.0;1.0;05.04.2023;0.5;0.0;NA;NA;1.0;19.03.2024;0.0;1.0;14.08.2024;0.0;20.03.2025;0.0
Treptower_Park;B_Trep_05;13,46635;52,49118;1.0;28.09.2021;01. Mai;0.0;NA;NA;1.0;29.08.2022;01. Mai;1.0;05.04.2023;0.0;1.0;20.08.2023;0.0;1.0;19.03.2024;0.0;1.0;14.08.2024;0.0;20.03.2025;0.0
Treptower_Park;B_Trep_06;13,47336;52,48310;0.0;NA;NA;1.0;23.03.2022;0.5;1.0;29.08.2022;0.5;1.0;05.04.2023;0.5;1.0;20.08.2023;0.5;1.0;19.03.2024;0.5;1.0;14.08.2024;0.5;20.03.2025;0.0
Treptower_Park;B_Trep_07;13,46511;52,49021;0.0;NA;NA;1.0;23.03.2022;0.0;0.0;NA;NA;1.0;05.04.2023;0.0;0.0;NA;NA;0.0;NA;NA;0.0;NA;NA;NA;NA
Treptower_Park;B_Trep_08;13,47582;52,48507;0.0;NA;NA;1.0;05.05.2022;1.0;0.0;NA;NA;0.0;NA;NA;1.0;20.08.2023;0.5;1.0;19.03.2024;0.5;1.0;14.08.2024;0.5;20.03.2025;0.5
Treptower_Park;B_Trep_09;13,46111;52,48988;0.0;NA;NA;1.0;05.05.2022;0.0;0.0;NA;NA;1.0;26.05.2023;0.0;1.0;20.08.2023;0.0;1.0;19.03.2024;0.0;1.0;14.08.2024;0.0;20.03.2025;0.0
Treptower_Park;B_Trep_10;13,46342;52,48902;0.0;NA;NA;1.0;05.05.2022;0.5;0.0;NA;NA;0.0;NA;NA;0.0;NA;NA;0.0;NA;NA;0.0;NA;NA;NA;NA
Treptower_Park;B_Trep_11;13,46429;52,49160;0.0;NA;NA;1.0;05.05.2022;0.0;1.0;29.08.2022;0.0;1.0;05.04.2023;0.0;1.0;20.08.2023;0.0;1.0;19.03.2024;0.0;1.0;14.08.2024;0.0;20.03.2025;0.0
Treptower_Park;B_Trep_12;13,46627;52,49115;0.0;NA;NA;1.0;05.05.2022;0.0;0.0;NA;NA;0.0;NA;NA;0.0;NA;NA;0.0;NA;NA;0.0;NA;NA;NA;NA
Treptower_Park;B_Trep_13;13,47323;52,48825;0.0;NA;NA;1.0;05.05.2022;0.5;0.0;NA;NA;0.0;NA;NA;0.0;NA;NA;0.0;NA;NA;0.0;NA;NA;20.03.2025;0.0
Treptower_Park;B_Trep_14;13,47515;52,48732;0.0;NA;NA;1.0;05.05.2022;0.5;1.0;29.08.2022;0.0;1.0;05.04.2023;0.0;1.0;20.08.2023;0.0;1.0;19.03.2024;0.0;1.0;14.08.2024;0.0;20.03.2025;0.0
Treptower_Park;B_Trep_15;13,47095;52,48334;0.0;NA;NA;0.0;NA;NA;1.0;29.08.2022;0.0;1.0;05.04.2023;0.0;0.0;NA;NA;1.0;19.03.2024;0.0;1.0;14.08.2024;0.0;20.03.2025;0.0
Treptower_Park;B_Trep_16;13,46380;52,49110;0.0;NA;NA;0.0;NA;NA;1.0;29.08.2022;1.0;1.0;05.04.2023;0.0;1.0;20.08.2023;0.0;1.0;19.03.2024;0.0;1.0;14.08.2024;0.0;20.03.2025;0.0
