Project_phase;Trapping_Date;Trapping_Start_Time;Trapping_Stop_Time;Study_site;Trapping_Duration;B_Lilie_01;B_Lilie_02;B_Lilie_03;B_Lilie_04;B_Lilie_05;B_Lilie_06;B_Lilie_07;B_Lilie_08;B_Lilie_09;B_Lilie_10;B_Lilie_11
3;31.08.2022;07:40;13:07;Lilienthal;5:27;1;1;1;1;1;0;0;0;0;0;0
3;02.09.2022;07:36;12:50;Lilienthal;5:14;1;1;1;1;1;0;0;0;0;0;0
3;09.09.2022;07:41;11:38;Lilienthal;3:57;1;1;1;1;1;0;0;0;0;0;0
3;13.09.2022;07:34;12:45;Lilienthal;5:11;1;1;1;1;1;1;1;1;1;1;0
3;16.09.2022;08:10;12:41;Lilienthal;4:31;1;1;1;1;1;1;1;1;1;1;0
3;21.09.2022;08:03;12:30;Lilienthal;4:27;1;1;1;1;1;1;1;1;1;1;0
3;12.10.2022;07:59;12:38;Lilienthal;4:39;1;1;1;1;1;1;1;1;1;1;0
3;27.10.2022;07:57;13:17;Lilienthal;5:20;1;1;1;1;1;1;1;1;1;1;0
4;12.04.2023;07:55;12:16;Lilienthal;4:21;1;1;1;1;1;1;1;1;1;1;0
4;17.04.2023;07:53;12:13;Lilienthal;4:20;1;1;1;1;1;1;1;1;1;1;0
4;09.05.2023;07:50;12:17;Lilienthal;4:27;1;1;1;1;1;1;1;1;1;1;0
4;18.05.2023;07:53;11:38;Lilienthal;3:45;1;1;1;1;1;1;1;1;1;1;0
4;30.05.2023;07:36;11:28;Lilienthal;3:52;1;1;1;1;1;1;1;1;1;1;0
4;08.06.2023;06:57;11:48;Lilienthal;4:51;1;1;1;1;1;1;1;1;1;1;0
5;28.09.2023;07:23;12:49;Lilienthal;5:26;stolen;stolen;1;1;1;1;1;1;1;1;0
5;13.10.2023;07:27;11:38;Lilienthal;4:11;0;0;1;1;1;1;1;1;1;1;0
5;18.10.2023;07:36;12:05;Lilienthal;4:29;0;0;1;1;1;1;1;1;1;1;0
5;25.10.2023;07:52;11:45;Lilienthal;3:53;0;0;1;1;1;1;1;1;1;1;0
6;12.04.2024;07:54;12:06;Lilienthal;4:12;1;0;1;1;0;1;1;1;0;1;0
6;16.04.2024;07:52;11:45;Lilienthal;3:53;1;0;1;1;0;1;1;1;0;1;0
6;23.04.2024;07:55;11:52;Lilienthal;3:57;1;0;1;1;0;1;1;1;0;1;0
6;30.04.2024;07:53;11:31;Lilienthal;3:38;1;0;1;1;0;1;1;1;0;1;0
6;07.05.2024;07:43;11:25;Lilienthal;3:42;1;0;1;1;0;1;1;1;0;1;0
7;05.09.2024;06:39;11:28;Lilienthal;4:49;1;forgot to activate;1;1;1;1;0;1;1;1;1
7;12.09.2024;06:48;11:18;Lilienthal;4:30;1;1;1;1;1;1;0;1;1;1;1
7;18.09.2024;06:50;11:44;Lilienthal;4:54;1;1;1;1;1;1;0;1;1;1;1
7;25.09.2024;07:08;11:39;Lilienthal;4:31;1;1;1;1;1;1;0;1;1;1;1
7;27.09.2024;06:58;11:05;Lilienthal;4:07;1;1;1;1;1;1;0;1;1;1;1
8;03.04.2025;08:08;12:50;Lilienthal;4:42;1;1;1;1;1;1;0;1;1;1;1
8;10.04.2025;07:53;12:03;Lilienthal;4:10;1;1;1;1;1;1;0;1;1;1;1
8;16.04.2025;07:47;11:52;Lilienthal;4:05;1;1;1;1;1;1;0;1;1;1;1
8;30.04.2025;07:51;11:49;Lilienthal;3:58;1;1;1;1;1;1;0;1;1;1;1
8;09.05.2025;08:03;12:19;Lilienthal;4:16;1;1;1;1;1;1;0;1;1;1;1
