Project_phase;Trapping_Date;Trapping_Start_Time;Trapping_Stop_Time;Study_site;Trapping_Duration;B_Rahn_01;B_Rahn_02;B_Rahn_03;B_Rahn_04;B_Rahn_05;B_Rahn_06;B_Rahn_07;B_Rahn_08;B_Rahn_09;B_Rahn_10;B_Rahn_11;B_Rahn_12;B_Rahn_13;B_Rahn_14
1;15.10.2021;08:00;12:00;Rahnsdorf;4:00;1;1;1;1;1;0;0;0;0;0;0;0;0;0
1;18.10.2021;08:00;12:00;Rahnsdorf;4:00;1;1;1;1;1;0;0;0;0;0;0;0;0;0
1;20.10.2021;07:40;12:00;Rahnsdorf;4:20;1;1;1;1;1;0;0;0;0;0;0;0;0;0
1;27.10.2021;07:22;12:00;Rahnsdorf;4:38;1;1;1;1;1;0;0;0;0;0;0;0;0;0
2;20.04.2022;06:29;12:00;Rahnsdorf;5:31;0;1;1;1;1;1;0;0;0;0;0;0;0;0
2;21.04.2022;06:20;12:00;Rahnsdorf;5:40;0;1;1;1;1;1;0;0;0;0;0;0;0;0
2;02.05.2022;06:50;12:02;Rahnsdorf;5:12;0;1;1;1;1;1;1;1;1;1;1;0;0;0
2;03.05.2022;06:51;12:00;Rahnsdorf;5:09;0;1;1;1;1;1;1;1;1;1;1;0;0;0
2;04.05.2022;06:39;12:03;Rahnsdorf;5:24;0;1;1;1;1;1;1;1;1;1;1;0;0;0
2;16.05.2022;05:30;11:45;Rahnsdorf;6:15;0;1;1;1;1;1;1;1;1;1;1;0;0;0
2;18.05.2022;06:45;12:30;Rahnsdorf;5:45;0;1;1;1;1;1;1;1;1;1;1;0;0;0
3;07.09.2022;07:09;12:46;Rahnsdorf;5:37;0;1;1;1;1;1;1;1;1;1;1;0;0;0
3;08.09.2022;07:08;12:16;Rahnsdorf;5:08;0;1;1;1;1;1;1;1;1;1;1;0;0;0
3;20.09.2022;08:02;12:30;Rahnsdorf;4:28;0;1;1;1;1;1;1;1;1;1;1;0;0;0
3;27.09.2022;08:03;11:43;Rahnsdorf;3:40;0;1;1;1;1;1;1;1;1;1;1;0;0;0
3;07.10.2022;08:16;12:40;Rahnsdorf;4:24;0;1;1;1;1;1;1;1;1;1;1;0;0;0
5;06.09.2023;07:19;11:54;Rahnsdorf;4:35;0;1;1;0;1;1;0;1;1;0;1;1;1;1
5;18.09.2023;07:35;12:02;Rahnsdorf;4:27;0;1;1;0;1;1;0;1;1;0;1;1;1;1
5;27.09.2023;07:32;12:25;Rahnsdorf;4:53;0;1;1;0;1;1;0;1;1;0;1;1;1;1
5;29.09.2023;07:29;13:17;Rahnsdorf;5:48;0;1;1;0;1;1;0;1;1;0;1;1;1;1
5;05.10.2023;07:25;11:43;Rahnsdorf;4:18;0;1;1;0;1;1;0;1;1;0;1;1;1;1
5;06.10.2023;08:12;11:58;Rahnsdorf;3:46;0;1;1;0;1;1;0;1;1;0;1;1;1;1
6;09.04.2024;07:57;11:39;Rahnsdorf;3:42;0;1;1;0;1;1;0;1;1;0;1;1;1;1
6;18.04.2024;08:06;11:44;Rahnsdorf;3:38;0;1;1;0;1;1;0;1;1;0;1;1;1;1
6;29.04.2024;07:37;12:09;Rahnsdorf;4:32;0;1;1;0;1;1;1;1;1;0;1;0;1;1
6;08.05.2024;07:22;11:52;Rahnsdorf;4:30;0;1;1;0;1;1;1;1;1;0;1;0;1;1
6;15.05.2024;07:30;11:34;Rahnsdorf;4:04;0;1;1;0;1;1;1;1;1;0;1;0;1;1
7;28.08.2024;07:01;11:53;Rahnsdorf;4:52;0;1;1;0;1;1;1;1;1;0;1;0;1;1
7;04.09.2024;06:54;10:34;Rahnsdorf;3:40;0;1;1;0;1;1;1;1;1;0;1;0;1;1
7;11.09.2024;06:56;11:01;Rahnsdorf;4:05;0;1;1;0;1;1;1;1;1;0;1;0;1;1
7;21.09.2024;07:10;11:31;Rahnsdorf;4:21;0;1;1;0;1;1;1;1;1;0;1;0;1;1
7;30.09.2024;07:30;11:23;Rahnsdorf;3:53;0;1;1;0;1;1;1;1;1;0;1;0;1;1
8;04.04.2025;07:59;12:31;Rahnsdorf;4:32;0;1;1;0;1;1;1;1;1;0;1;0;1;1
8;11.04.2025;07:53;11:41;Rahnsdorf;3:48;0;1;1;0;1;1;1;1;1;0;1;0;1;1
8;17.04.2025;07:53;11:42;Rahnsdorf;3:49;0;1;1;0;1;1;1;1;1;0;1;0;1;1
8;24.04.2025;07:55;11:33;Rahnsdorf;3:38;0;1;1;0;1;1;1;1;1;0;1;0;1;1
8;08.05.2025;07:56;12:07;Rahnsdorf;4:11;0;1;1;0;1;1;1;1;1;0;1;0;1;1
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
