Project_phase;Trapping_Date;Trapping_Start_Time;Trapping_Stop_Time;Study_site;Trapping_Duration;B_Trep_01;B_Trep_02;B_Trep_03;B_Trep_04;B_Trep_05;B_Trep_06;B_Trep_07;B_Trep_08;B_Trep_09;B_Trep_10;B_Trep_11;B_Trep_13;B_Trep_14;B_Trep_15;B_Trep_16;B_Trep_17;B_Trep_18;B_Trep_19;B_Trep_02_mobil;B_Trep_07_mobil
1;29.10.2021;07:00;12:00;Treptower_Park;5:00;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1;30.10.2021;07:00;12:00;Treptower_Park;5:00;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2;12.04.2022;06:30;11:00;Treptower_Park;4:30;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1
2;13.04.2022;06:30;11:50;Treptower_Park;5:20;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1
2;14.04.2022;06:42;11:50;Treptower_Park;5:08;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1
2;26.04.2022;06:19;11:50;Treptower_Park;5:31;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1
2;27.04.2022;06:23;11:50;Treptower_Park;5:27;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2;09.05.2022;06:40;11:30;Treptower_Park;4:50;0;0;1;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0
2;10.05.2022;06:35;11:59;Treptower_Park;5:24;0;0;1;0;1;0;1;GEKLAUT?;1;1;1;1;1;0;0;0;0;0;0;0
3;29.08.2022;07:25;14:00;Treptower_Park;6:35;1;0;1;1;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0
3;30.08.2022;07:31;11:02;Treptower_Park;3:31;1;0;1;1;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0
3;14.09.2022;07:40;13:05;Treptower_Park;5:25;1;0;1;1;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0
3;15.09.2022;07:37;12:37;Treptower_Park;5:00;1;0;1;1;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0
3;22.09.2022;07:47;12:36;Treptower_Park;4:49;1;0;1;1;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0
3;05.10.2022;07:57;12:10;Treptower_Park;4:13;1;0;1;1;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0
3;21.10.2022;08:03;11:40;Treptower_Park;3:37;1;0;1;1;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0
4;24.04.2023;08:14;11:45;Treptower_Park;3:31;1;0;1;1;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0
4;28.04.2023;07:55;12:50;Treptower_Park;4:55;1;0;1;1;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0
4;11.05.2023;07:49;12:17;Treptower_Park;4:28;1;0;1;1;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0
4;22.05.2023;07:55;11:43;Treptower_Park;3:48;1;0;1;1;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0
4;31.05.2023;06:59;12:33;Treptower_Park;5:34;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;1;1;1;0;0
4;09.06.2023;06:50;11:16;Treptower_Park;4:26;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;1;1;1;0;0
4;14.06.2023;06:58;11:20;Treptower_Park;4:22;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;1;1;1;0;0
5;19.09.2023;07:23;12:29;Treptower_Park;5:06;0;0;1;0;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0
5;19.10.2023;07:36;11:49;Treptower_Park;4:13;0;0;1;0;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0
5;30.10.2023;07:58;11:43;Treptower_Park;3:45;0;0;1;0;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0
5;31.10.2023;07:36;11:44;Treptower_Park;4:08;0;0;1;0;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0
6;08.04.2024;07:52;11:20;Treptower_Park;3:28;0;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0
6;24.04.2024;08:03;12:11;Treptower_Park;4:08;0;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0
6;26.04.2024;07:49;12:23;Treptower_Park;4:34;0;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0
6;02.05.2024;08:01;11:24;Treptower_Park;3:23;0;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0
6;16.05.2024;07:59;11:36;Treptower_Park;3:37;0;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0
7;29.08.2024;07:06;10:37;Treptower_Park;3:31;0;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0
7;30.08.2024;06:56;11:15;Treptower_Park;4:19;0;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0
7;06.09.2024;06:52;12:25;Treptower_Park;5:33;0;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0
7;13.09.2024;06:54;12:02;Treptower_Park;5:08;0;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0
