Date;Study_site;Box_nr;Trap_nr;Start_obs;Stop_obs;Duration_obs;Temperature;Weather;Cloud_cover;People;Dogs;Bicycles;Ex_events;Ex_event_description;comments;obs
24.09.2024;Rahnsdorf;6;B_Rahn_11;07:50;08:20;30.00;16;cloudy;100;1;0;3;0;;wood cutter sound fartrer away for a longer period of time;IGR
24.09.2024;Rahnsdorf;5;B_Rahn_14;07:50;08:15;25.00;14;cloudy;95;0;0;0;0;0;Maybe I sat too close to the box;HAC
29.10.2024;Treptower_Park;1;B_Trep_08;07:50;08:20;30.00;12;cloudy;100;7;4;3;1;car went by ;dog was barkink loudly ;IGR
22.10.2024;Treptower_Park;4;B_Trep_09;07:55;08:25;30.00;12;sunny;50;67;1;76;4;3 stroller and 1 suitcase;loud construction work acros street behind box.;JEU
25.10.2024;Treptower_Park;2;B_Trep_14;07:55;08:25;30.00;8;foggy;0;3;1;0;0;;;IGR
25.09.2024;Treptower_Park;1;B_Trep_08;8:00;8:30;30.00;15;cloudy;100;14;7;4;1;dog barking loud close to the box at 8:19;One person trained their dog close to box for 5 min. One person did rope skipping for  entire 30 min close to box. ;JEU
27.09.2024;Rahnsdorf;6;B_Rahn_11;08:00;08:30;30.00;15;sunny, cloudy, dry;50;1;0;1;0;;;TP
27.09.2024;Treptower_Park;3;B_Trep_16;08:00;08:30;30.00;14;sunny;10;8;0;6;2;two cars;8:51 one squirrel runs up tree next to monument into nest. Had white fluffy stuff in its mouth. ;JEU
27.09.2024;Treptower_Park;1;B_Trep_08;08:00;08:30;30.00;14;sunny;0;3;1;0;0;;;TWE
03.10.2024;Treptower_Park;2;B_Trep_14;08:00;08:30;30.00;10;rainy;100;5;3;1;0;;Public holiday, Techno music coming from House Zeller;JEU
03.10.2024;Treptower_Park;4;B_Trep_09;08:00;08:30;30.00;9;cloudy, foggy, rainy;90;34;4;5;1;BSR truck went by but not very loud;noises from behind box from street/trains. National holiday;TPO
04.10.2024;Rahnsdorf;6;B_Rahn_11;08:00;08:30;30.00;10;cloudy;100%;0;0;0;0;0;0;HAC
08.10.2024;Rahnsdorf;6;B_Rahn_11;08:00;08:30;30.00;13;cloudy, rainy;70;0;0;2;2;car came by twice on road leading to foresters house/other traps on this side of forest;road noise;TP
08.10.2024;Rahnsdorf;5;B_Rahn_14;08:00;08:30;30.00;12;cloudy;100%;1;0;0;0;0;At the end there was 1 nut gone! It was sunny in afternoon;HAC
08.10.2024;Treptower_Park;2;B_Trep_14;08:00;08:30;30.00;13;cloudy;90;2;1;2;0;;;IGR
10.10.2024;Rahnsdorf;5;B_Rahn_14;08:00;08:30;30.00;17;cloudy, windy;100%;1;1;0;0;0;0;HAC
11.10.2024;Rahnsdorf;6;B_Rahn_11;08:00;08:30;30.00;7;cloudy;100;0;0;1;0;;;IGR
11.10.2024;Treptower_Park;3;B_Trep_16;08:00;08:30;30.00;7;cloudy;70;8;2;3;1;1 car;;SLA
15.10.2024;Treptower_Park;1;B_Trep_08;08:00;08:30;30.00;5;cloudy, foggy, rainy;30;9;7;6;1;two dogs played loudly on meadow for a while/chased eachother;;TPO
16.10.2024;Treptower_Park;3;B_Trep_04;08:00;08:30;30.00;6;sunny;0;11;5;8;5;2 BSR cars, loud construction noise, Ambulance and mowingwork ;;SDR
17.10.2024;Rahnsdorf;5;B_Rahn_14;08:00;08:30;30.00;8;sunny;10%;1;1;0;1;we saw a fox but it was further then 20m away;puzzle dome, 2 squirrels were running around on the trees together maybe chasing each other;HAC
17.10.2024;Treptower_Park;2;B_Trep_14;08:00;08:30;30.00;7;dry, sunny, windy;0;3;2;0;0;;;TPO
18.10.2024;Treptower_Park;3;B_Trep_04;08:00;08:30;30.00;9;sunny;30;4;4;5;0;;;JEU
22.10.2024;Treptower_Park;1;B_Trep_08;08:00;08:30;30.00;13;foggy, dry;20;6;3;3;0;;still garden + construction work in close surrounding going on;TPO
23.10.2024;Rahnsdorf;6;B_Rahn_11;08:00;08:30;30.00;7;dry;0;1;1;1;0;;;IGR
25.10.2024;Treptower_Park;3;B_Trep_16;08:00;08:30;30.00;7;foggy;0;9;5;2;0;;leave blowing with loud sounds;JEU
30.10.2024;Rahnsdorf;5;B_Rahn_14;08:00;08:30;30.00;13;cloudy, dry;100%;0;0;0;0;0;0;HAC
30.10.2024;Treptower_Park;1;B_Trep_08;08:00;08:30;30.00;14;cloudy;100;3;1;1;0;;;IGR
30.10.2024;Treptower_Park;4;B_Trep_09;08:00;08:30;30.00;13;cloudy;100;60;4;50;2;man with stroller, person with stroller-like vehicle;;TPO
31.10.2024;Rahnsdorf;6;B_Rahn_11;08:00;08:30;30.00;11;cloudy;100;1;1;1;0;0;0;SDR
31.10.2024;Rahnsdorf;5;B_Rahn_14;08:00;08:30;30.00;11;cloudy;100%;2;0;0;0;0;I refilled the batteries;HAC
01.11.2024;Treptower_Park;3;B_Trep_04;08:00;08:30;30.00;10;cloudy;100;9;4;4;0;;;JEU
05.11.2024;Treptower_Park;2;B_Trep_14;08:00;08:30;30.00;6;sunny;0;4;1;1;0;;;MSP
07.11.2024;Rahnsdorf;5;B_Rahn_14;08:00;08:30;30.00;5;cloudy, rainy;100%;1;0;0;0;0;me changing battery;HAC
