Date;Season;Project_phase;Start_Time;End_Time;Study_site;Trap_nr;Squirrel_ID;Name;Animal_nr;Capture_or_recapture;Sex;repro_status;age_class;body_length_mm;tail_length_mm;hind_foot_length_mm;neck_size_mm;Squirrel_bag_nr;Squirrel_bag_weight;Weight_bag_squirrel;Weight_squirrel;physical_status;nutritional_status;collar_nr;collar_frequency;collar_breaking_point_label;box;box_start;box_end;blood_smear;full_blood;plasma;plasma_µl;faeces_sample;faeces_sample_label;after_sample;after_sample_label;EHI_feaces;EHI_feaces_label;EHI_after;EHI_after_label;fur_sample;fur_sample_label;hind_foot_sample;hind_foot_sample_label;oral_sample;oral_sample_label;tissue_sample;tissue_sample_label;EHI_tissue;EHI_tissue_label;score_sheet_cat;Temperature_Celsius;Weather;People;trap_score;docility_score;release_score;comment;protocol_nr_old;protocol_nr
20.10.2021;Autumn;1;9:34:00 AM;NA;Rahnsdorf;B_Rahn_01;8041A02;Ratchet;Sciurus_B_Rahn_01_M01;capture;m;NA;adult;252;188;50.6;155;1;95;495;400;very_good;very_good;NA;NA;NA;no;NA;NA;no;no;no;NA;no;NA;yes;20211020_Sciurus_B_Rahn_01_M01_After;no;NA;yes;ABW28;yes;20211020_Sciurus_B_Rahn_01_M01_Fell;yes;20211020_Sciurus_B_Rahn_01_M01_Hind_Foot;no;NA;yes;Sciurus_8041A02_TISSUE_20/10/21;yes;ABW29;NA;14;dry_sunny;SKS. SD. CS. FG.KR(in B.);NA;NA;NA;NA;1;1
29.10.2021;Autumn;1;8:45:00 AM;NA;Treptower_Park;B_Trep_05;8041A5D;Scar;Sciurus_B_Trep_05_M02;capture;m;NA;adult;240;182;62.5;NA;1;95;520;425;very_good;very_good;NA;NA;NA;no;NA;NA;no;no;no;NA;yes;B_Trep_5_M02_Kot;yes;B_Trep_5_M02_After;no;NA;yes;ABW31;yes;B_Trep_5_M02_Fell;yes;B_Trep_5_M02_Hind_foot;no;NA;yes;B_Trep_5_M02_Tissue;yes;ABW30;NA;NA;dry_sunny;SKS. SD. CL. CS. KR(in B.);NA;NA;NA;Fleas, Name was Woody (ID 8042AFB) at the beginning, but was changed to Scar after the genetic analyses;3;2
29.10.2021;Autumn;1;10:50:00 AM;11:30:00 AM;Treptower_Park;B_Trep_02_mobil;80426FF;Bolt;Sciurus_B_Trep_02mob_M03;capture;m;NA;juvenile;231;183;52.8;NA;1;95;460;365;very_good;very_good;NA;NA;NA;no;NA;NA;no;no;no;NA;no;NA;yes;Sciurus_B_Trep_02mob_M03_After;no;NA;yes;ABW32;yes;Sciurus_B_Trep_02mob_M03_Fell;yes;Sciurus_B_Trep_02mob_M03_Hind_foot;no;NA;yes;Sciurus_B_Trep_02mob_M03_Tissue;yes;ABW33;NA;9;sunny;SKS. SD. CL. CS. KR(in B.);NA;NA;NA;Fleas. only 1mm2 Tissue für EHI. recaptured at the 30.10.2021;2;3
29.10.2021;Autumn;1;11:54:00 AM;NA;Treptower_Park;B_Trep_05;80428EA;Josie;Sciurus_B_Trep_11_W11;capture;f;NA;juvenile;241;174;58.4;NA;1;95;480;385;very_good;very_good;NA;NA;NA;no;NA;NA;no;no;no;NA;no;NA;yes;Sciurus_B_Trep_05_W01_After;no;NA;yes;ABW34;yes;Sciurus_B_Trep_05_W01_Fell;yes;Sciurus_B_Trep_05_W01_Hind_foot;yes;Sciurus_B_Trep_05_W01_oral;yes;Sciurus_B_Trep_05_W01_Tissue;yes;ABW35;NA;NA;dry_sunny;SKS. SD. CL. CS. KR(in B.);NA;NA;NA;"we tried to chip the squirrel. but after handling the chip was in the handling bag; Name was Isabella (chip got lost) at the beginning, but was changed to Josie after the genetic analyses";4;4
29.10.2021;Autumn;1;12:38:00 PM;NA;Treptower_Park;B_Trep_02_mobil;808F334;Jessie;Sciurus_B_Trep_02mob_29102021_W02;capture;f;NA;juvenile;230;171;57.9;NA;1;95;455;360;very_good;very_good;NA;NA;NA;no;NA;NA;no;no;no;NA;no;NA;yes;Sciurus_B_Trep_02mob_29102021_W02_After;no;NA;yes;ABW36;yes;Sciurus_B_Trep_02mob_29102021_W02_Fell;yes;Sciurus_B_Trep_02mob_W02_29102021_Hind_foot;no;NA;no;NA;yes;ABW45;NA;NA;dry_sunny;SKS. SD. CL. CS.KR(in B.);NA;NA;NA;fleas. old injury on the snout;;5
29.10.2021;Autumn;1;1:30:00 PM;NA;Treptower_Park;B_Trep_03;8042AB3;Bonnie;Sciurus_B_Trep_03_29102021_W03;capture;f;NA;juvenile;249;166;58.8;NA;1;95;500;405;very_good;very_good;NA;NA;NA;no;NA;NA;no;no;no;NA;no;NA;yes;Sciurus_B_Trep_03_29102021_W03_After;no;NA;yes;ABW37;yes;Sciurus_B_Trep_03_29102021_W03_Fell;yes;Sciurus_B_Trep_03_29102021_W03_Hind_foot;no;NA;yes;Sciurus_8042AB3_TISSUE_29/10/21;yes;ABW38;NA;14;sunny;SKS. SD. CL. CS. KR(in B.);NA;NA;NA;NA;6;6
30.10.2021;Autumn;1;8:45:00 AM;NA;Treptower_Park;B_Trep_02_mobil;80426FF;Bolt;Sciurus_B_Trep_02mob_M02;recapture;m;NA;juvenile;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;no;no;no;NA;no;NA;no;NA;no;NA;no;NA;no;NA;no;NA;yes;Sciurus_B_Trep_02mob_30102021_M03_oral;no;NA;no;NA;NA;6;dry_sunny;SKS. SD. CL. KR(in B.);NA;NA;NA;recapture;;7
30.10.2021;Autumn;1;10:17:00 AM;10:44:00 AM;Treptower_Park;B_Trep_02_mobil;8042C77;Buzz;Sciurus_B_Trep_02mob_30102021_M04;capture;m;NA;adult;267;205;53.9;NA;2;113;560;447;good;very_good;NA;NA;NA;no;NA;NA;no;no;no;NA;no;NA;yes;Sciurus_B_Trep_02mob_30102021_M04_After;no;NA;yes;ABW39;yes;Sciurus_B_Trep_02mob_30102021_M04_Fell;no;NA;yes;Sciurus_B_Trep_02mob_30102021_M04_oral;yes;Sciurus_8042C77_TISSUE_29/10/21;yes;ABW40;NA;8;dry_sunny;SKS. SD. CL. KR(in B.);NA;NA;NA;injury on the snout;8;8
12.04.2022;Spring;2;7:55:00 AM;NA;Treptower_Park;B_Trep_07;NA;Michael;Sciurus_B_Trep_07_M04;capture;m;NA;juvenile;255;132;41.2;NA;1;86;NA;NA;very_good;very_good;NA;NA;NA;no;NA;NA;no;no;no;NA;no;NA;yes;Sciurus_8043823_AFTER_12/4/22;no;NA;yes;ABW43;yes;Sciurus_8043823_FUR_12/4/22;no;NA;no;NA;no;NA;yes;ABW44;NA;3;dry_sunny;SKS.SD.EH.KR(in B.);NA;NA;NA;too lean to place chip under skin. 8043B23 as number for eppis. even though no ID yet;;9
12.04.2022;Spring;2;10:07:00 AM;NA;Treptower_Park;B_Trep_07_mobil;808F0BF;Jim;Sciurus_B_Trep_07mob_12042022_M05;capture;m;NA;adult;257;165;52.5;NA;1;86;480;394;very_good;very_good;NA;NA;NA;no;NA;NA;no;no;no;NA;no;NA;yes;Sciurus_808F0BF_AFTER_12/4/22;no;NA;yes;ABW63;yes;Sciurus_808F0BF_FUR_12/4/22;no;NA;yes;Sciurus_808F0BF_ORAL_12/4/22;yes;Sciurus_808F0BF_TISSUE_12/4/22;yes;ABW54;NA;10;dry_sunny;SKS.SD.EH.KR(in B.);NA;NA;NA;large testicles;10;10
