First ID,Loci typed,Second ID,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
1,16,10,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,102,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,105,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,106,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,108,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,109,16,0,16, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,11,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,112,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,115,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,116,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,117,16,7,9, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,12,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,129,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,132,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,137,15,4,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,139,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,140,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,142,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,144,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,145,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,147,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,157,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,16,15,6,9, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,160,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,162,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,166,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,177,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,178,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,18,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,186,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,189,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,19,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,190,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,191,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,193,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,204,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,21,15,7,8, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,211,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,216,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,222,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,224,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,226,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,23,15,4,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,230,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,232,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,238,16,0,16, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,24,15,2,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,242,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,243,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,244,16,7,9, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,25,15,4,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,251,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,26,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,266,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,267,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,268,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,270,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,276,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,28,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,29,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,298,15,3,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,3,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,30,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,306,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,308,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,311,15,4,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,323,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,327,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,33,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,334,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,338,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,341,16,7,9, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,346,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,348,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,351,16,7,9, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,362,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,364,16,8,8, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,366,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,37,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,376,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,377,15,4,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,378,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
1,16,38,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
